1,0,5.9992,1.7298,0.62647,-1.6246,7.0727,3.0513,4.2312
1,0,5.9998,0.78256,0.64253,-1.6681,7.089,3.0331,4.3906
1,0,5.9996,1.2326,0.6341,-1.6447,7.0755,3.0396,4.3063
1,0,5.9845,7.4146,0.64943,-1.6154,7.0389,3.1296,4.4609
1,0,5.9963,3.59,0.63473,-1.6076,7.0529,3.0663,4.3125
1,0,5.9909,5.6332,0.6416,-1.5995,7.0453,3.1038,4.3813
1,0,5.9991,1.7699,0.62903,-1.6011,7.0749,3.0488,4.2562
1,0,5.9997,0.98962,0.62276,-1.7502,7.0935,3.0309,4.1953
1,0,5.9984,2.373,0.59522,-1.7443,7.0913,3.0159,3.9375
1,0,5.9998,0.90691,0.61838,-1.741,7.0856,3.0365,4.1531
1,0,5.9973,3.0731,-0.19694,-1.6279,7.1015,3.0226,0.63541
1,0,5.9957,3.8983,-0.31238,-1.6942,7.0876,3.0653,0.4871
1,0,4.6427,71.664,-1.4277,-1.7372,6.5951,2.9776,0.040518
1,0,4.524,71.618,-1.1195,-1.2491,6.4149,3.3525,0.082377
1,0,4.5233,71.545,-1.1617,-1.3427,6.3162,3.3607,0.074759
1,0,4.2063,84.075,-1.2047,-1.6465,6.3389,3.4586,0.067698
1,0,4.233,82.993,-1.17,-1.6264,6.3351,3.4362,0.073345
1,0,4.1987,84.231,-1.1864,-1.6509,6.325,3.455,0.070624
1,0,4.2202,83.403,-1.167,-1.6267,6.3282,3.4395,0.073849
1,0,4.1976,84.285,-1.1847,-1.6496,6.325,3.4541,0.070899
1,0,5.4633,39.852,-1.1676,-1.6495,5.6858,3.0791,0.073738
